player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
T.J. Finley,124093,QB,GA STATE,7,73.2,190,203,7.9,2.41,1,8,3.7,61.6,125,0,66,10.1,226,14,59,175,65.8,63.8,64.7,51.7,6,7,241,1,19.7,74.4,5.8,13,9,2,4,6,10,4.1,1242,6.1
Jackson Brousseau,173480,QB,COLO STATE,9,78.2,174,202,7.3,2.92,4,6,2.8,63.9,129,0,108,5.1,250,7,67,144,57.1,55.3,55.8,53.4,6,3,265,0,19.4,92.0,8.4,21,26,1,17,9,9,3.4,1359,6.7
Goose Crowder,144781,QB,TROY,8,69.6,181,195,8.4,2.66,5,10,5.0,59.0,115,0,85,8.7,238,11,63,318,57.9,73.2,69.9,69.6,0,5,244,1,28.2,87.4,10.1,24,19,0,9,11,10,4.1,1313,6.7
Malachi Nelson,174203,QB,UTEP,6,65.9,176,189,8.9,2.52,2,10,5.0,54.0,102,0,63,12.1,211,14,48,330,64.5,55.6,56.4,50.3,0,9,222,2,15.9,66.8,4.7,10,10,1,10,8,14,6.3,1154,6.1
Jeff Sims,122496,QB,ARIZONA ST,8,64.0,178,188,9.3,2.73,3,9,4.6,55.9,105,0,64,7.9,214,9,60,110,26.6,67.5,60.8,69.5,1,6,222,0,15.6,81.0,4.7,10,16,0,6,10,9,4.1,1261,6.7
Cameran Brown,184894,QB,GA STATE,10,74.1,174,186,8.2,2.71,4,9,4.5,64.5,120,0,71,7.0,209,9,74,175,51.3,79.1,78.0,68.4,4,1,227,4,8.5,105.9,2.9,6,17,0,4,13,5,2.2,1293,7.0
Hunter Watson,183993,QB,SM HOUSTON,7,70.5,166,182,7.8,2.79,2,4,2.1,57.1,104,0,84,11.1,234,13,60,281,39.5,60.7,62.4,58.5,4,4,246,5,25.0,74.9,9.0,21,29,0,10,5,6,2.4,1099,6.0
Rickie Collins,172474,QB,SYRACUSE,7,63.8,174,181,10.1,2.86,5,6,3.1,53.6,97,0,84,12.6,225,14,54,304,54.1,48.1,46.2,58.9,0,10,241,1,17.9,58.5,6.7,15,29,0,2,6,15,6.2,1032,5.7
Dequan Finn,97804,QB,MIAMI OH,8,69.8,162,180,12.0,3.23,4,10,5.2,58.3,105,0,75,7.1,212,8,71,221,73.7,71.8,67.4,69.7,1,6,228,4,14.7,87.1,5.2,11,20,0,13,9,9,3.9,1451,8.1
Ethan Grunkemeyer,183606,QB,PENN STATE,10,80.1,166,179,7.2,2.7,3,4,2.1,68.7,123,0,75,7.5,208,10,69,266,36.2,68.5,68.0,58.3,1,4,218,2,20.0,96.1,7.2,15,13,0,9,8,5,2.3,1339,7.5
Carter Jones,198923,QB,NEVADA,9,69.6,168,173,8.0,2.36,3,2,1.1,64.2,111,0,53,5.1,194,6,59,239,40.7,49.8,48.5,57.9,1,8,202,0,20.8,72.6,5.7,11,9,0,1,6,11,5.4,1029,5.9
Alessio Milivojevic,183542,QB,MICH STATE,9,73.8,160,172,8.7,2.88,3,5,2.8,64.5,111,0,88,5.9,198,7,59,223,57.0,72.7,70.2,67.9,2,3,205,1,20.5,98.7,9.1,18,8,0,7,10,6,2.9,1267,7.4
Chase Jenkins,173242,QB,RICE,12,74.4,164,172,6.9,2.5,1,8,4.5,69.2,119,0,73,2.5,207,3,60,275,42.1,67.2,67.7,60.3,1,2,214,0,17.8,97.4,6.3,13,20,0,6,9,3,1.4,1033,6.0
Scotty Fox Jr.,199546,QB,W VIRGINIA,9,68.1,160,170,8.3,2.16,3,8,4.6,59.4,101,0,60,7.3,190,8,50,343,49.3,55.0,55.2,55.7,1,6,196,0,25.0,81.9,7.9,15,5,0,6,7,7,3.6,1276,7.5
Max Cutforth,176220,QB,BOISE ST,9,71.3,157,167,8.9,2.67,4,3,1.7,56.9,95,0,50,15.2,182,17,48,120,53.5,54.7,53.2,61.0,3,5,196,2,22.0,71.4,6.0,11,3,0,3,4,11,5.6,1057,6.3
Blake Horvath,162555,QB,NAVY,12,67.1,152,161,11.7,2.74,0,15,8.9,60.2,97,0,64,4.9,188,5,74,237,27.6,82.1,77.0,74.4,3,6,197,4,9.4,102.5,3.2,6,21,0,6,12,6,3.0,1580,9.8
Joe Pesansky,149434,QB,FIU,9,67.1,140,160,10.7,3.03,7,8,4.6,55.6,89,0,75,5.3,188,5,55,166,55.6,73.2,68.8,71.7,4,7,206,3,13.3,79.6,5.3,10,18,0,9,11,7,3.4,1017,6.4
Drew Allar,164157,QB,PENN STATE,6,72.7,150,159,8.2,2.85,2,4,2.5,64.8,103,0,44,5.5,186,6,65,266,75.7,72.4,66.1,75.7,2,3,191,0,13.6,93.8,3.2,6,20,0,5,8,5,2.6,1100,6.9
Steve Angeli,156966,QB,SYRACUSE,4,75.4,142,156,10.0,2.44,7,9,5.5,62.8,98,0,54,8.4,174,9,61,304,50.3,78.0,74.8,71.7,3,2,183,0,22.2,105.6,6.9,12,6,0,4,10,5,2.7,1317,8.4
Blake Baker,170448,QB,LA TECH,8,76.6,141,155,8.0,2.53,2,4,2.4,65.8,102,0,54,5.6,185,6,59,208,60.4,73.9,65.7,74.8,6,3,198,0,14.8,92.4,4.3,8,22,1,5,5,6,3.0,1220,7.9
Drew Pyne,122910,QB,BOWL GREEN,6,68.3,145,154,5.8,2.56,6,3,1.9,61.0,94,0,58,5.1,182,5,45,122,75.5,55.9,54.5,64.2,1,5,187,4,27.6,71.9,8.8,16,11,2,0,4,5,2.7,882,5.7
Grayson James,145214,QB,BOSTON COL,7,63.4,142,154,12.0,2.87,2,6,3.7,56.5,87,0,81,3.3,180,3,54,121,56.4,60.6,58.0,63.0,2,5,188,2,21.0,83.1,9.4,17,9,0,8,7,13,6.9,1196,7.8
Michael Van Buren Jr.,184764,QB,LSU,7,73.9,142,152,8.1,2.67,5,3,1.8,62.5,95,0,52,9.5,181,10,55,211,59.3,68.8,67.8,61.8,1,2,195,1,26.9,94.0,7.7,14,15,0,4,8,6,3.1,1012,6.7
Landyn Locke,199937,QB,SM HOUSTON,6,62.5,128,143,11.0,2.7,2,4,2.7,49.7,71,0,41,11.3,154,9,42,281,47.6,40.6,39.9,58.1,1,4,162,2,17.1,63.4,4.5,7,4,1,11,4,10,6.2,765,5.3
Roman Gagliano,183961,QB,MIDDLE TN,5,69.5,128,137,11.0,2.72,1,9,6.1,56.9,78,0,54,12.4,161,11,47,224,63.9,81.4,79.1,70.5,3,0,172,4,18.5,97.0,6.2,10,14,1,4,7,4,2.3,1000,7.3
Josh Holst,171312,QB,N ILLINOIS,7,67.2,119,130,7.9,2.88,1,5,3.7,59.2,77,0,62,3.8,167,3,42,254,64.6,48.8,49.2,52.1,1,3,173,1,14.5,74.1,5.4,9,28,0,9,4,5,2.9,687,5.3
Elijah Brown,183276,QB,STANFORD,6,66.7,117,128,8.9,2.49,3,5,3.7,57.8,74,0,56,5.1,144,4,42,300,59.4,56.7,55.7,57.6,4,2,152,2,23.2,81.2,9.0,13,3,0,4,4,7,4.6,829,6.5
Dexter Williams II,129457,QB,KENNESAW,8,67.3,113,127,11.5,2.85,3,2,1.5,53.5,68,0,52,10.5,142,8,42,200,77.0,61.1,54.3,69.9,4,3,147,1,7.7,78.8,2.8,4,11,1,6,6,7,4.8,798,6.3
Eli Holstein,172381,QB,PITTSBURGH,7,70.1,117,126,10.0,2.72,4,7,5.3,61.1,77,0,50,6.1,147,5,45,268,63.0,58.7,51.0,73.8,3,6,153,2,18.0,100.7,6.1,9,11,0,2,12,11,7.2,1081,8.6
TJ Lateef,199810,QB,NEBRASKA,7,70.3,111,123,8.7,2.99,3,4,3.1,60.2,74,0,47,5.1,151,4,45,238,50.3,53.2,53.5,55.1,2,1,155,1,19.1,93.0,6.0,9,19,0,7,5,4,2.6,904,7.3
Liam Szarka,197814,QB,AIR FORCE,10,69.4,111,122,12.0,2.82,0,10,7.8,61.5,75,0,55,2.6,136,2,61,101,68.7,81.6,73.0,74.9,5,5,143,1,14.5,105.0,5.9,8,6,1,5,9,9,6.3,1294,10.6
Ashton Daniels,157259,QB,AUBURN,4,72.6,106,122,9.5,2.97,3,4,3.1,55.7,68,0,63,11.7,154,9,50,115,66.8,71.0,63.9,72.7,1,2,163,2,15.9,77.1,6.5,10,22,2,10,3,5,3.1,797,6.5
Hunter Simmons,148254,QB,WISCONSIN,8,66.7,105,119,8.4,2.92,4,5,4.0,52.1,62,0,53,11.4,128,8,32,349,27.2,45.2,46.1,46.6,2,7,133,1,7.5,49.8,3.1,4,4,0,8,2,10,7.5,664,5.6
Trey Kukuk,198675,QB,LA TECH,9,74.2,97,110,5.7,2.58,5,1,0.9,61.8,68,1,48,5.6,131,4,32,208,75.1,70.5,48.8,78.6,2,4,138,3,16.7,72.2,6.1,8,13,2,4,3,6,4.3,652,5.9
Gavin Wimsatt,155757,QB,JVILLE ST,11,71.2,104,110,7.0,2.64,2,2,1.7,56.4,62,0,28,16.2,124,12,36,196,55.3,74.9,67.9,74.1,1,2,129,2,17.9,81.3,4.0,5,9,0,3,4,3,2.3,732,6.7
Will Hammond,184898,QB,TEXAS TECH,7,73.3,105,109,8.6,2.53,0,6,5.3,62.4,68,0,26,11.7,124,9,34,315,62.2,78.8,68.0,80.0,2,3,129,0,11.5,89.7,2.4,3,11,1,1,7,5,3.9,673,6.2
Darius Curry,191052,QB,COLO STATE,5,75.5,102,108,6.8,2.61,1,3,2.6,64.8,70,0,45,9.1,121,7,34,144,57.5,58.6,62.0,47.1,1,7,130,0,11.1,73.1,4.1,5,8,0,4,5,5,3.8,740,6.9
Grant Jordan,151147,QB,UMASS,7,65.7,102,108,10.1,3.1,3,4,3.6,56.5,61,0,59,9.0,128,6,31,216,77.1,66.0,58.9,72.1,0,2,130,0,20.3,72.5,9.4,12,8,0,3,3,3,2.3,564,5.2
Luke Weaver,198494,QB,HAWAII,5,68.7,99,105,8.0,2.58,2,5,4.4,60.0,63,0,30,7.4,125,5,34,180,59.0,55.5,54.9,58.0,1,3,136,0,20.0,84.1,4.8,6,14,0,3,6,7,5.1,628,6.0
Adam Damante,170711,QB,NEW MEX ST,4,77.8,99,104,8.7,2.34,2,1,0.9,67.3,70,2,29,9.1,113,7,37,242,42.2,58.9,57.5,61.0,0,4,125,2,20.7,86.9,5.3,6,3,0,3,5,5,4.0,717,6.9
Henry Hesson,145798,QB,MIAMI OH,5,47.7,88,101,14.5,2.76,1,4,3.9,38.6,39,1,43,7.1,119,3,28,221,62.4,48.8,49.3,54.2,0,3,121,1,23.3,59.7,8.4,10,8,3,9,4,5,4.1,596,5.9
Nicco Marchiol,157363,QB,W VIRGINIA,4,74.7,91,98,7.9,2.59,3,4,3.9,67.3,66,0,44,2.9,116,2,31,343,76.6,69.9,68.5,62.1,2,2,120,1,27.3,86.6,10.3,12,6,0,2,2,3,2.5,707,7.2
Ryder Burton,175011,QB,UAB,7,70.5,95,98,10.6,3.22,1,8,7.7,63.3,62,0,40,7.5,118,5,38,321,47.0,72.2,71.4,61.6,0,5,125,0,25.0,87.5,8.5,10,9,0,2,7,3,2.4,708,7.2
Gabarri Johnson,175905,QB,OREGON ST,8,70.8,96,97,5.9,2.73,0,2,2.0,61.9,60,0,30,11.8,115,8,27,265,45.7,49.1,45.8,57.7,0,3,123,0,26.7,69.0,7.0,8,10,0,1,2,4,3.3,497,5.1
Conner Harrell,156352,QB,CHARLOTTE,4,75.8,91,96,8.8,2.81,1,2,1.9,66.7,64,0,37,7.2,106,5,36,136,45.5,72.3,73.6,59.8,1,2,115,0,5.4,94.8,1.9,2,8,0,3,4,3,2.6,737,7.7
Jaxon Potter,176687,QB,WASH STATE,3,75.8,91,96,6.2,2.16,1,3,3.0,69.8,67,0,20,2.9,100,2,32,341,73.2,67.3,69.4,53.2,0,3,104,2,0.0,87.3,0.0,0,4,1,3,4,4,3.8,604,6.3
Julian Lewis,198304,QB,COLORADO,4,67.4,86,96,8.7,3.47,3,6,6.1,56.3,54,0,46,6.9,118,4,24,143,73.6,72.1,71.4,61.5,2,0,121,1,26.1,88.7,10.2,12,10,0,5,4,2,1.7,595,6.2
Carson Conklin,170765,QB,FRESNO ST,4,64.0,86,95,9.2,2.77,0,1,1.0,50.5,48,0,34,12.7,99,7,18,169,61.2,48.1,52.3,45.4,2,2,105,2,8.8,54.5,3.0,3,1,0,7,1,4,3.8,355,3.7
Matt Zollers,198887,QB,MISSOURI,7,64.6,79,92,10.1,2.54,1,2,2.0,51.1,47,0,26,7.8,100,4,25,229,44.7,49.3,53.2,39.9,0,2,108,3,11.5,72.9,3.0,3,5,1,11,4,2,1.9,503,5.5
Kirk Francis,173296,QB,TULSA,3,64.7,85,90,8.6,2.24,3,3,3.1,60.0,54,0,16,1.8,92,1,24,320,73.0,58.0,57.1,58.7,0,4,98,1,6.3,67.6,1.1,1,1,0,2,3,3,3.1,495,5.5
Danny O'Neil,184200,QB,WISCONSIN,6,70.1,87,90,7.2,3.11,0,3,3.2,67.8,61,0,51,0.0,118,0,35,349,76.6,51.3,43.9,66.8,1,5,123,1,31.4,83.3,13.6,16,12,0,2,5,6,4.9,635,7.1
Brady Davidson,199832,QB,N ILLINOIS,8,53.8,78,89,10.4,2.87,3,1,1.0,46.1,41,0,41,2.4,99,1,16,254,53.9,37.6,35.8,57.9,3,3,108,1,14.6,55.7,6.1,6,4,0,5,3,6,5.6,386,4.3
Brandon Rose,158503,QB,UMASS,6,71.1,83,88,7.6,2.82,1,0,0.0,59.1,52,0,40,11.9,101,7,24,216,28.4,53.1,53.8,54.4,0,3,105,0,17.5,61.0,6.9,7,6,0,4,1,6,5.7,424,4.8
Cale Hellums,170981,QB,ARMY,13,64.6,79,88,14.2,3.2,0,11,11.2,53.4,47,0,56,7.8,126,4,42,114,79.4,77.0,67.0,72.7,0,3,137,0,10.7,80.4,4.8,6,32,1,8,4,6,4.4,694,7.9
Chubba Purdy,122412,QB,NEVADA,8,64.6,79,88,9.8,3.03,3,2,2.1,50.0,44,0,40,13.7,113,7,30,239,62.6,61.6,47.0,65.2,2,8,122,0,12.5,44.6,4.4,5,20,2,2,3,11,9.0,577,6.6
Max Johnson,124099,QB,N CAROLINA,4,72.0,82,87,5.0,2.59,1,1,1.1,62.1,54,0,32,8.5,94,5,26,245,52.6,51.8,50.6,63.3,1,0,100,1,6.3,82.2,2.1,2,5,0,3,2,3,3.0,432,5.0
Christian Veilleux,145086,QB,GA STATE,3,64.6,79,87,9.9,2.46,3,3,3.3,47.1,41,0,34,19.6,92,10,26,175,73.0,53.2,49.1,68.8,1,3,97,0,2.9,62.9,1.1,1,4,1,3,3,4,4.1,509,5.9
Thomas Gotkowski,184081,QB,MIAMI OH,4,53.2,77,87,15.6,2.67,2,4,4.4,43.7,38,0,44,7.3,104,3,27,221,60.9,59.1,53.4,66.4,3,1,109,0,13.6,76.6,5.8,6,11,1,4,4,3,2.8,575,6.6
Daniel Beale,197861,QB,LA LAFAYET,5,63.0,81,86,9.3,2.68,4,3,3.0,48.8,42,1,29,17.6,96,9,24,207,53.6,57.5,54.8,64.8,0,4,111,1,17.2,46.4,5.2,5,5,0,1,1,2,1.8,395,4.6
Deshawn Purdie,184271,QB,WAKE,8,63.2,76,84,10.8,2.81,3,4,4.5,50.0,42,0,29,12.5,92,6,27,339,26.8,43.0,48.5,35.9,3,3,97,0,13.8,83.6,4.3,4,4,1,1,6,5,5.2,623,7.4
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,3,64.0,75,82,9.4,2.84,1,2,2.3,53.7,44,0,31,8.3,95,4,29,144,52.8,51.7,48.3,65.7,1,2,99,0,19.4,65.5,6.3,6,6,0,5,1,4,4.0,488,6.0
Samari Collier,144801,QB,COAST CAR,6,62.5,72,80,9.1,2.65,1,4,4.7,50.0,40,0,28,11.1,92,5,23,141,57.2,64.9,51.5,73.4,2,2,99,1,14.3,88.3,4.3,4,8,0,5,7,3,3.0,496,6.2
Kamario Taylor,198868,QB,MISS STATE,8,69.0,71,78,13.1,3.38,0,4,4.9,55.1,43,0,51,12.2,108,6,39,227,64.0,84.7,62.1,90.1,3,1,114,2,15.7,97.6,7.4,8,20,0,4,5,1,0.9,629,8.1
Austin Simmons,175891,QB,OLE MISS,6,69.9,73,75,11.5,2.42,0,6,7.8,60.0,45,0,18,11.8,84,6,32,226,37.7,74.5,74.2,64.5,1,5,87,0,22.2,83.4,4.8,4,5,0,1,4,5,5.7,744,9.9
Cam Fancher,145266,QB,UCF,3,66.7,66,72,8.8,3.42,2,1,1.3,56.9,41,0,30,6.8,91,3,23,323,74.2,62.7,54.0,73.5,0,0,98,1,10.0,68.8,3.3,3,15,0,4,0,4,4.1,332,4.6
Christopher Vizzina,170032,QB,CLEMSON,4,71.4,70,71,6.8,2.37,0,2,2.7,63.4,45,0,26,10.0,79,5,18,140,56.4,54.1,57.1,51.3,1,1,81,0,19.2,91.6,6.3,5,3,0,0,4,7,8.6,406,5.7
Hunter Najm,184223,QB,BOWL GREEN,5,60.3,58,68,7.8,2.66,5,2,2.8,48.5,33,0,15,5.7,82,2,25,122,50.5,33.7,29.9,55.9,0,4,85,0,40.0,71.5,7.3,6,8,3,2,5,6,7.1,473,7.0
Sam Jackson V,144682,QB,OKLA STATE,8,64.9,57,67,6.5,3.63,3,2,2.8,52.2,35,0,30,5.4,82,2,17,262,43.7,52.1,50.0,50.5,0,2,86,4,6.7,60.0,2.4,2,13,0,7,1,3,3.5,351,5.2
Joseph Filardi,199227,QB,SYRACUSE,4,54.2,59,64,7.6,2.76,0,3,4.3,48.4,31,0,36,3.1,85,1,14,304,26.7,31.2,27.5,68.8,0,3,92,2,30.6,42.8,12.9,11,9,0,5,1,8,8.7,226,3.5
Malachi Singleton,172426,QB,PURDUE,8,70.2,57,64,11.4,3.09,2,2,2.9,59.4,38,0,34,5.0,71,2,23,273,79.5,69.9,65.7,67.2,2,2,75,0,8.8,92.6,4.2,3,4,0,3,5,3,4.0,431,6.7
Mabrey Mettauer,183668,QB,SM HOUSTON,6,68.4,57,62,5.6,2.98,1,1,1.4,58.1,36,1,27,7.7,86,3,14,281,54.3,53.6,61.1,48.6,1,2,96,3,25.9,73.3,8.1,7,16,0,3,3,3,3.1,300,4.8
MJ Morris,157404,QB,COAST CAR,3,68.4,57,61,7.6,2.27,2,2,3.1,59.0,36,0,14,7.7,65,3,17,141,72.6,46.2,43.6,59.3,0,4,68,0,14.3,51.2,3.1,2,2,0,2,1,6,8.8,319,5.2
Zion Turner,158636,QB,MARSHALL,4,73.7,57,59,9.0,2.72,2,2,3.3,67.8,40,0,21,4.8,63,2,18,214,24.6,69.2,69.8,60.0,0,1,65,1,9.5,85.6,3.2,2,2,0,0,1,3,4.6,403,6.8
Zach Calzada,98006,QB,KENTUCKY,3,57.1,56,58,11.9,2.98,1,2,3.2,48.3,28,0,23,12.5,63,4,9,202,73.5,46.5,41.7,63.2,0,2,69,1,8.7,45.1,3.2,2,3,0,1,0,3,4.3,239,4.1
Ryan Staub,171906,QB,COLORADO,4,66.0,53,57,10.6,2.72,1,5,8.5,52.6,30,1,20,14.3,72,5,17,143,27.1,45.7,46.7,54.6,2,4,76,3,30.0,65.5,8.3,6,9,1,0,3,7,9.2,427,7.5
KJ Jackson,184386,QB,ARKANSAS,5,67.9,53,54,8.4,2.78,0,2,3.5,61.1,33,0,22,8.3,63,3,22,111,47.2,78.7,72.3,76.7,0,0,67,0,9.1,105.6,3.2,2,6,0,1,3,3,4.5,441,8.2
Zach Gibson,100201,QB,FAU,6,63.5,52,53,8.1,2.57,1,2,3.4,58.5,31,0,13,6.1,55,2,16,165,43.5,50.0,54.4,38.1,0,3,60,0,0.0,71.5,0.0,0,1,0,0,3,4,6.7,323,6.1
Gunnar Gray,171202,QB,BUFFALO,4,62.7,51,53,9.8,2.22,1,2,3.7,54.7,29,0,10,9.4,53,3,10,126,70.3,51.6,49.6,60.0,1,2,54,0,0.0,62.5,0.0,0,0,0,0,2,3,5.6,228,4.3
Tristan Ti'a,204242,QB,OREGON ST,3,76.5,51,53,9.4,2.81,1,2,3.4,69.8,37,0,22,5.1,63,2,20,265,20.8,56.6,62.6,42.0,1,2,69,1,31.8,93.7,11.1,7,3,0,0,3,5,7.2,385,7.3
Daniel Kaelin,183565,QB,VIRGINIA,4,69.4,49,52,7.4,2.73,0,0,0.0,57.7,30,0,17,11.8,56,4,15,335,48.1,58.0,54.0,64.4,1,1,56,0,11.8,75.7,3.6,2,2,0,2,1,2,3.6,339,6.5
Zach Wilcke,156836,QB,CHARLOTTE,6,73.9,46,52,7.5,2.93,1,2,3.6,63.5,33,0,28,2.9,60,1,17,136,73.3,56.5,58.5,53.1,0,3,63,1,10.7,67.5,5.0,3,5,0,5,2,4,6.3,296,5.7
Landry Lyddy,156581,QB,SO MISS,5,72.9,48,52,7.3,2.71,1,0,0.0,65.4,34,0,11,2.9,55,1,16,296,71.5,65.4,65.1,59.0,1,3,59,0,0.0,77.9,0.0,0,3,0,2,2,3,5.1,406,7.8
Tama Amisone,199154,QB,S JOSE ST,6,70.7,41,52,9.3,3.41,1,0,0.0,51.9,27,0,20,6.9,60,2,15,285,77.0,65.6,59.2,67.2,0,3,62,1,15.0,38.1,5.0,3,5,0,10,0,2,3.2,210,4.0
Kalieb Osborne,184132,QB,TOLEDO,7,68.8,48,51,7.7,2.93,2,3,5.2,60.8,31,0,30,6.1,75,2,24,316,29.6,72.9,62.8,72.6,1,0,82,0,23.3,105.5,9.3,7,16,0,0,3,3,3.7,406,8.0
Gaston Moore,123756,QB,USF,7,86.7,45,48,4.3,2.64,1,3,6.0,72.9,35,0,15,10.3,57,4,14,327,51.4,67.5,70.2,56.1,2,2,59,0,26.7,84.5,7.0,4,5,0,0,2,3,5.1,290,6.0
Deuce Bailey,198907,QB,MO STATE,2,62.5,40,48,9.5,3.62,3,1,2.0,47.9,23,0,27,8.0,60,2,19,230,34.9,61.4,56.7,64.6,1,0,63,0,14.8,85.0,6.7,4,8,1,3,2,2,3.2,335,7.0
Carter Smith,199578,QB,WISCONSIN,4,70.0,40,46,6.4,3.29,1,0,0.0,56.5,26,0,33,7.1,59,2,12,349,42.6,42.4,37.3,54.7,1,1,60,0,27.3,72.8,15.3,9,4,0,4,2,2,3.3,201,4.4
Ken Seals,124359,QB,TCU,3,82.2,45,46,5.1,2.46,0,2,4.3,71.7,33,0,16,10.8,52,4,15,305,42.3,71.3,73.3,53.1,1,2,53,0,18.8,76.5,5.8,3,3,0,0,1,2,3.8,282,6.1
AJ Bianco,158232,QB,NEVADA,6,69.0,42,46,7.2,2.93,1,1,2.0,58.7,27,0,19,6.9,57,2,11,239,43.9,57.3,54.1,65.3,0,1,60,1,26.3,66.2,8.8,5,6,0,3,1,2,3.3,188,4.1
Evan Bullock,170452,QB,LA TECH,3,62.8,43,44,7.9,2.55,0,2,4.1,54.5,24,1,17,11.1,55,3,14,208,71.5,45.6,42.0,66.9,1,2,60,2,35.3,51.5,10.9,6,3,0,0,0,4,6.7,242,5.5
Brady Jones,200039,QB,W MICHIGAN,5,56.4,39,43,10.6,2.69,2,1,2.3,44.2,19,0,20,13.6,50,3,9,347,17.2,38.3,35.4,56.8,0,3,51,2,15.0,30.8,6.0,3,3,0,2,1,5,9.8,136,3.2
Michael Merdinger,183334,QB,LIBERTY,5,57.9,38,42,11.1,2.94,3,4,8.9,50.0,21,0,20,4.5,56,1,19,206,72.1,67.7,62.6,67.9,0,0,59,0,35.0,86.4,12.5,7,7,1,0,1,1,1.7,350,8.3
Walker Howard,157112,QB,LA LAFAYET,6,57.9,38,42,10.6,2.57,0,0,0.0,42.9,18,0,9,18.2,46,4,7,207,73.0,42.4,34.1,66.0,1,3,51,1,11.1,23.4,2.2,1,3,0,3,0,3,5.9,155,3.7
Lucian Anderson III,173364,QB,BOWL GREEN,3,76.3,38,41,8.0,2.7,1,2,4.3,63.4,26,0,10,10.3,50,3,11,122,54.8,71.2,64.3,70.2,0,3,56,1,40.0,65.6,8.0,4,5,0,2,2,2,3.6,245,6.0
Quinn Henicle,190064,QB,DOMINION,5,55.6,36,40,10.7,2.65,0,0,0.0,42.5,17,0,19,15.0,51,3,13,263,28.5,67.0,47.8,76.2,4,0,53,1,31.6,56.7,11.8,6,5,0,0,0,2,3.8,184,4.6
Noah Gillon,198101,QB,APP STATE,4,58.8,34,39,7.2,2.47,2,1,2.5,43.6,17,0,21,15.0,47,3,7,108,70.8,44.5,45.0,57.2,3,2,49,1,19.0,35.7,8.5,4,4,0,0,0,4,8.2,175,4.5
Jacob Conover,70963,QB,UTAH ST,5,67.6,37,39,10.8,2.68,0,3,7.0,61.5,24,0,13,4.0,44,1,15,329,71.4,58.9,57.3,60.8,0,0,49,2,7.7,120.5,2.3,1,4,0,2,4,2,4.1,308,7.9
Dewayne Coleman,163179,QB,ARMY,6,69.7,33,39,11.2,3.02,0,3,7.1,48.7,19,0,18,17.4,42,4,11,114,57.5,79.0,74.7,71.1,0,2,45,1,5.6,67.6,2.4,1,2,1,5,2,1,2.2,273,7.0
Landon Graves,181155,QB,LA MONROE,6,60.0,35,38,12.8,3.07,0,1,2.4,50.0,19,0,17,9.5,42,2,14,209,72.9,57.2,56.6,59.8,1,2,45,1,0.0,59.6,0.0,0,4,0,2,2,4,8.9,185,4.9
Mason Drube,200056,QB,WYOMING,3,59.5,37,37,10.4,3.29,0,0,0.0,54.1,20,0,17,9.1,44,2,11,351,72.7,52.3,55.9,51.1,0,1,47,0,23.5,56.9,9.1,4,3,0,0,0,2,4.3,187,5.1
Byrd Ficklin,199457,QB,UTAH,7,64.7,34,36,9.1,2.8,1,2,5.4,58.3,21,0,13,4.5,43,1,19,328,33.9,90.5,75.2,86.4,0,0,44,1,7.7,113.3,2.3,1,6,1,0,3,0,0.0,301,8.4
Mitch Griffis,123386,QB,TEXAS TECH,5,83.9,31,36,8.0,2.38,3,4,9.1,72.2,26,0,13,0.0,43,0,20,315,45.8,83.2,84.1,64.7,1,0,51,0,23.1,122.1,7.0,3,4,0,1,2,1,2.0,357,9.9
Tramell Jones Jr.,200122,QB,FLORIDA,2,78.8,33,35,8.7,2.8,0,0,0.0,60.0,21,0,14,19.2,42,5,14,163,69.7,65.0,71.1,48.1,0,0,43,0,7.1,93.9,2.4,1,6,0,2,2,1,2.3,191,5.5
Khalil Wilkins,189946,QB,W VIRGINIA,4,54.5,33,35,13.4,2.83,1,1,2.6,42.9,15,0,19,16.7,45,3,8,343,24.2,48.3,35.1,62.1,0,2,49,1,15.8,46.0,6.7,3,7,0,1,1,4,8.2,189,5.4
Brandon Tennison,174109,QB,UTSA,5,74.2,31,34,6.5,2.27,2,1,2.9,58.8,20,0,9,13.0,41,3,11,331,71.9,65.0,60.1,68.9,0,0,42,1,22.2,95.1,4.9,2,5,0,1,2,0,0.0,199,5.9
Luke Duncan,173972,QB,UCLA,2,78.1,32,34,4.6,2.13,2,0,0.0,61.8,21,0,9,16.0,34,4,9,324,68.5,60.9,61.8,,0,0,34,1,0.0,102.0,0.0,0,0,0,0,2,1,2.9,235,6.9
Gevani McCoy,147609,QB,TEMPLE,8,75.0,32,33,6.3,2.64,0,2,5.3,72.7,24,0,9,0.0,41,0,14,306,27.6,59.5,74.2,42.2,0,0,46,0,11.1,115.2,2.4,1,6,0,1,2,0,0.0,256,7.8
